User ID,Location Frequency
7,83
11,1
19,80
43,44
45,58
53,5
71,82
73,101
74,67
84,335
90,86
100,180
119,120
120,56
121,157
129,28
142,22
153,79
160,25
166,38
170,27
173,110
178,155
182,57
184,115
185,290
188,84
193,16
208,64
212,52
217,63
225,69
244,37
267,87
280,158
281,150
293,171
300,47
315,232
340,32
344,66
347,75
349,178
354,198
365,90
371,127
380,70
384,205
389,54
396,109
425,117
432,131
435,8
439,108
443,112
444,164
445,183
447,9
458,210
470,141
471,46
473,41
475,59
478,93
480,53
482,92
491,34
514,45
515,91
524,43
527,146
528,136
529,126
534,36
561,15
573,31
576,6
592,55
615,119
618,3
620,39
621,163
623,129
625,12
636,13
649,103
652,95
660,88
661,17
665,134
690,29
691,107
706,358
708,74
721,60
726,227
734,61
739,33
742,172
745,160
749,77
752,105
754,2
755,68
768,282
786,26
788,18
801,10
803,62
827,133
828,11
829,73
830,78
839,30
848,19
864,96
868,72
880,253
882,123
888,35
889,168
893,14
895,121
916,116
923,7
933,23
936,51
949,21
979,81
983,102
987,65
999,48
1001,49
1004,4
1017,114
1026,42
1027,20
1032,71
1034,76
1040,50
1047,193
1054,99
1059,40
1069,24
